Geneid	SRR14612087_fibroblast_male
ENSSSCG00000004006	224
ENSSSCG00000004007	142
ENSSSCG00000004008	9
ENSSSCG00000004009	0
ENSSSCG00000004010	158
ENSSSCG00000004011	226
ENSSSCG00000004012	3647
ENSSSCG00000018614	0
ENSSSCG00000004013	0
ENSSSCG00000018658	0
ENSSSCG00000019371	0
ENSSSCG00000004014	0
ENSSSCG00000004015	0
ENSSSCG00000004016	3
ENSSSCG00000004017	3
ENSSSCG00000004018	154
ENSSSCG00000004019	0
ENSSSCG00000004020	352
ENSSSCG00000004021	0
ENSSSCG00000004022	367
ENSSSCG00000004023	103
ENSSSCG00000004024	811
ENSSSCG00000004025	0
ENSSSCG00000004026	0
ENSSSCG00000019654	0
ENSSSCG00000004027	24
ENSSSCG00000004028	0
ENSSSCG00000004029	3027
ENSSSCG00000004030	0
ENSSSCG00000004031	0
ENSSSCG00000004032	7
ENSSSCG00000004033	222
ENSSSCG00000004034	183
ENSSSCG00000004035	0
ENSSSCG00000004036	1
ENSSSCG00000004037	209
ENSSSCG00000004038	0
ENSSSCG00000004039	1
ENSSSCG00000018769	0
ENSSSCG00000004040	0
ENSSSCG00000004041	0
ENSSSCG00000004042	935
ENSSSCG00000004043	172
ENSSSCG00000004044	4327
ENSSSCG00000004045	0
ENSSSCG00000004046	0
ENSSSCG00000004047	343
ENSSSCG00000004048	2956
ENSSSCG00000018530	1
ENSSSCG00000018605	2
ENSSSCG00000004049	1446
ENSSSCG00000004050	1211
ENSSSCG00000004051	18918
ENSSSCG00000004052	837
ENSSSCG00000004053	10
ENSSSCG00000004054	0
ENSSSCG00000004055	28
ENSSSCG00000004056	78
ENSSSCG00000004057	1
ENSSSCG00000004058	3331
ENSSSCG00000004059	52
ENSSSCG00000004060	47
ENSSSCG00000004061	45
ENSSSCG00000020070	0
ENSSSCG00000004062	19
ENSSSCG00000004063	128
ENSSSCG00000004064	1561
ENSSSCG00000019015	0
ENSSSCG00000004065	776
ENSSSCG00000004066	202
ENSSSCG00000004067	18
ENSSSCG00000004068	0
ENSSSCG00000004069	0
ENSSSCG00000004070	1428
ENSSSCG00000004071	151
ENSSSCG00000004072	0
ENSSSCG00000004073	0
ENSSSCG00000004074	0
ENSSSCG00000004075	34
ENSSSCG00000004076	113
ENSSSCG00000004077	66
ENSSSCG00000004078	0
ENSSSCG00000004079	0
ENSSSCG00000004080	7
ENSSSCG00000004081	1
ENSSSCG00000004082	1971
ENSSSCG00000004083	3
ENSSSCG00000004084	0
ENSSSCG00000004085	0
ENSSSCG00000004086	0
ENSSSCG00000004087	69
ENSSSCG00000004088	214
ENSSSCG00000004089	162
ENSSSCG00000004090	209
ENSSSCG00000004091	1548
ENSSSCG00000004092	814
ENSSSCG00000004093	0
ENSSSCG00000004094	0
ENSSSCG00000004095	5
ENSSSCG00000004096	12
ENSSSCG00000004097	8
ENSSSCG00000004098	18
ENSSSCG00000004099	2
ENSSSCG00000004100	34
ENSSSCG00000004101	152
ENSSSCG00000004102	0
ENSSSCG00000004103	1056
ENSSSCG00000004104	544
ENSSSCG00000004105	143
ENSSSCG00000004106	1061
ENSSSCG00000004107	138
ENSSSCG00000004108	537
ENSSSCG00000004109	35
ENSSSCG00000004110	1410
ENSSSCG00000004111	101
ENSSSCG00000020613	0
ENSSSCG00000004112	1
ENSSSCG00000004113	191
ENSSSCG00000004114	8
ENSSSCG00000004115	7
