Geneid	SRR14612090_fibroblast_male
ENSSSCG00000004006	244
ENSSSCG00000004007	85
ENSSSCG00000004008	0
ENSSSCG00000004009	0
ENSSSCG00000004010	162
ENSSSCG00000004011	211
ENSSSCG00000004012	1327
ENSSSCG00000018614	0
ENSSSCG00000004013	0
ENSSSCG00000018658	0
ENSSSCG00000019371	0
ENSSSCG00000004014	0
ENSSSCG00000004015	0
ENSSSCG00000004016	0
ENSSSCG00000004017	0
ENSSSCG00000004018	131
ENSSSCG00000004019	0
ENSSSCG00000004020	294
ENSSSCG00000004021	0
ENSSSCG00000004022	260
ENSSSCG00000004023	112
ENSSSCG00000004024	480
ENSSSCG00000004025	0
ENSSSCG00000004026	0
ENSSSCG00000019654	0
ENSSSCG00000004027	36
ENSSSCG00000004028	0
ENSSSCG00000004029	2404
ENSSSCG00000004030	0
ENSSSCG00000004031	0
ENSSSCG00000004032	1
ENSSSCG00000004033	127
ENSSSCG00000004034	126
ENSSSCG00000004035	0
ENSSSCG00000004036	0
ENSSSCG00000004037	167
ENSSSCG00000004038	0
ENSSSCG00000004039	0
ENSSSCG00000018769	0
ENSSSCG00000004040	0
ENSSSCG00000004041	0
ENSSSCG00000004042	769
ENSSSCG00000004043	127
ENSSSCG00000004044	3539
ENSSSCG00000004045	0
ENSSSCG00000004046	0
ENSSSCG00000004047	280
ENSSSCG00000004048	2433
ENSSSCG00000018530	0
ENSSSCG00000018605	5
ENSSSCG00000004049	1256
ENSSSCG00000004050	964
ENSSSCG00000004051	10810
ENSSSCG00000004052	381
ENSSSCG00000004053	24
ENSSSCG00000004054	0
ENSSSCG00000004055	38
ENSSSCG00000004056	78
ENSSSCG00000004057	0
ENSSSCG00000004058	2212
ENSSSCG00000004059	43
ENSSSCG00000004060	39
ENSSSCG00000004061	42
ENSSSCG00000020070	0
ENSSSCG00000004062	11
ENSSSCG00000004063	85
ENSSSCG00000004064	1041
ENSSSCG00000019015	1
ENSSSCG00000004065	541
ENSSSCG00000004066	132
ENSSSCG00000004067	9
ENSSSCG00000004068	0
ENSSSCG00000004069	0
ENSSSCG00000004070	1177
ENSSSCG00000004071	156
ENSSSCG00000004072	0
ENSSSCG00000004073	0
ENSSSCG00000004074	0
ENSSSCG00000004075	68
ENSSSCG00000004076	147
ENSSSCG00000004077	60
ENSSSCG00000004078	0
ENSSSCG00000004079	0
ENSSSCG00000004080	60
ENSSSCG00000004081	1
ENSSSCG00000004082	992
ENSSSCG00000004083	0
ENSSSCG00000004084	0
ENSSSCG00000004085	0
ENSSSCG00000004086	0
ENSSSCG00000004087	69
ENSSSCG00000004088	204
ENSSSCG00000004089	74
ENSSSCG00000004090	161
ENSSSCG00000004091	1012
ENSSSCG00000004092	631
ENSSSCG00000004093	0
ENSSSCG00000004094	0
ENSSSCG00000004095	2
ENSSSCG00000004096	12
ENSSSCG00000004097	0
ENSSSCG00000004098	13
ENSSSCG00000004099	0
ENSSSCG00000004100	25
ENSSSCG00000004101	120
ENSSSCG00000004102	0
ENSSSCG00000004103	922
ENSSSCG00000004104	459
ENSSSCG00000004105	167
ENSSSCG00000004106	783
ENSSSCG00000004107	95
ENSSSCG00000004108	543
ENSSSCG00000004109	16
ENSSSCG00000004110	1018
ENSSSCG00000004111	88
ENSSSCG00000020613	0
ENSSSCG00000004112	0
ENSSSCG00000004113	140
ENSSSCG00000004114	6
ENSSSCG00000004115	3
ENSSSCG00000004116	0
ENSSSCG00000004117	398
ENSSSCG00000004118	4
ENSSSCG00000004119	0
ENSSSCG00000004120	300
ENSSSCG00000004121	1109
ENSSSCG00000004122	20
ENSSSCG00000004123	429
ENSSSCG00000004124	1098
ENSSSCG00000004125	366
ENSSSCG00000004126	232
ENSSSCG00000004127	338
ENSSSCG00000004128	0
ENSSSCG00000004129	12
ENSSSCG00000004130	150
ENSSSCG00000004131	14
ENSSSCG00000004132	257
ENSSSCG00000020208	0
ENSSSCG00000004133	1181
ENSSSCG00000004134	164
ENSSSCG00000004135	62
ENSSSCG00000004136	412
ENSSSCG00000004137	0
ENSSSCG00000004138	4847
ENSSSCG00000004139	1932
ENSSSCG00000004140	269
ENSSSCG00000004141	0
ENSSSCG00000019021	0
ENSSSCG00000018603	0
ENSSSCG00000004142	770
ENSSSCG00000004143	0
ENSSSCG00000004144	262
ENSSSCG00000004145	572
ENSSSCG00000004146	423
ENSSSCG00000004147	0
ENSSSCG00000004148	68
ENSSSCG00000004149	65
ENSSSCG00000020384	0
ENSSSCG00000004150	442
ENSSSCG00000019434	0
ENSSSCG00000004151	97
ENSSSCG00000004152	0
ENSSSCG00000004153	67
ENSSSCG00000004155	0
ENSSSCG00000004156	689
ENSSSCG00000004157	5
ENSSSCG00000004158	0
ENSSSCG00000004159	0
ENSSSCG00000004160	64
ENSSSCG00000020379	0
ENSSSCG00000004161	31
ENSSSCG00000004162	0
ENSSSCG00000004163	2501
ENSSSCG00000004164	31
ENSSSCG00000004165	159
ENSSSCG00000020601	0
ENSSSCG00000004166	749
ENSSSCG00000004167	9
ENSSSCG00000004168	200
ENSSSCG00000004169	801
ENSSSCG00000004170	132
ENSSSCG00000004171	110
ENSSSCG00000020130	0
ENSSSCG00000019571	0
ENSSSCG00000019507	0
ENSSSCG00000004172	19
ENSSSCG00000004173	189
ENSSSCG00000004174	72
ENSSSCG00000004175	0
ENSSSCG00000004176	0
ENSSSCG00000004177	5740
ENSSSCG00000018972	8
ENSSSCG00000018450	1
ENSSSCG00000018352	0
ENSSSCG00000004178	66
ENSSSCG00000004179	0
ENSSSCG00000004180	0
ENSSSCG00000004181	0
ENSSSCG00000019778	0
ENSSSCG00000004182	0
ENSSSCG00000004183	0
ENSSSCG00000004184	0
ENSSSCG00000004185	0
ENSSSCG00000004186	0
ENSSSCG00000004187	0
ENSSSCG00000004188	0
ENSSSCG00000004189	0
ENSSSCG00000004190	411
ENSSSCG00000018825	0
ENSSSCG00000004191	19
ENSSSCG00000004192	12886
ENSSSCG00000004193	430
ENSSSCG00000004194	0
ENSSSCG00000004195	0
ENSSSCG00000004196	572
ENSSSCG00000020095	0
ENSSSCG00000004197	113
ENSSSCG00000004198	3
ENSSSCG00000004199	3076
ENSSSCG00000004200	0
ENSSSCG00000004201	358
ENSSSCG00000004202	1
ENSSSCG00000004203	290
ENSSSCG00000004204	0
ENSSSCG00000004205	44
ENSSSCG00000004206	34
ENSSSCG00000004207	26
ENSSSCG00000004208	3
ENSSSCG00000004209	1467
ENSSSCG00000004210	0
ENSSSCG00000004211	0
ENSSSCG00000004212	0
ENSSSCG00000004213	0
ENSSSCG00000019365	0
ENSSSCG00000004214	10
ENSSSCG00000018593	0
ENSSSCG00000004215	117
