Geneid	SRR14612091_myofibroblast_male
ENSSSCG00000004006	158
ENSSSCG00000004007	83
ENSSSCG00000004008	10
ENSSSCG00000004009	0
ENSSSCG00000004010	126
ENSSSCG00000004011	178
ENSSSCG00000004012	2436
ENSSSCG00000018614	0
ENSSSCG00000004013	0
ENSSSCG00000018658	0
ENSSSCG00000019371	0
ENSSSCG00000004014	0
ENSSSCG00000004015	0
ENSSSCG00000004016	0
ENSSSCG00000004017	8
ENSSSCG00000004018	191
ENSSSCG00000004019	1
ENSSSCG00000004020	241
ENSSSCG00000004021	0
ENSSSCG00000004022	276
ENSSSCG00000004023	60
ENSSSCG00000004024	382
ENSSSCG00000004025	0
ENSSSCG00000004026	0
ENSSSCG00000019654	0
ENSSSCG00000004027	9
ENSSSCG00000004028	0
ENSSSCG00000004029	2523
ENSSSCG00000004030	0
ENSSSCG00000004031	0
ENSSSCG00000004032	9
ENSSSCG00000004033	135
ENSSSCG00000004034	108
ENSSSCG00000004035	0
ENSSSCG00000004036	0
ENSSSCG00000004037	139
ENSSSCG00000004038	0
ENSSSCG00000004039	0
ENSSSCG00000018769	0
ENSSSCG00000004040	0
ENSSSCG00000004041	0
ENSSSCG00000004042	604
ENSSSCG00000004043	96
ENSSSCG00000004044	2587
ENSSSCG00000004045	0
ENSSSCG00000004046	2
ENSSSCG00000004047	197
ENSSSCG00000004048	2872
ENSSSCG00000018530	6
ENSSSCG00000018605	5
ENSSSCG00000004049	891
ENSSSCG00000004050	584
ENSSSCG00000004051	660
ENSSSCG00000004052	630
ENSSSCG00000004053	19
ENSSSCG00000004054	0
ENSSSCG00000004055	36
ENSSSCG00000004056	116
ENSSSCG00000004057	0
ENSSSCG00000004058	3051
ENSSSCG00000004059	40
ENSSSCG00000004060	41
ENSSSCG00000004061	36
ENSSSCG00000020070	0
ENSSSCG00000004062	20
ENSSSCG00000004063	68
ENSSSCG00000004064	1668
ENSSSCG00000019015	0
ENSSSCG00000004065	738
ENSSSCG00000004066	188
ENSSSCG00000004067	18
ENSSSCG00000004068	0
ENSSSCG00000004069	0
ENSSSCG00000004070	1154
ENSSSCG00000004071	145
ENSSSCG00000004072	0
ENSSSCG00000004073	0
ENSSSCG00000004074	0
ENSSSCG00000004075	27
ENSSSCG00000004076	87
ENSSSCG00000004077	59
ENSSSCG00000004078	0
ENSSSCG00000004079	0
ENSSSCG00000004080	13
ENSSSCG00000004081	2
ENSSSCG00000004082	1949
ENSSSCG00000004083	0
ENSSSCG00000004084	0
ENSSSCG00000004085	0
ENSSSCG00000004086	0
ENSSSCG00000004087	14
ENSSSCG00000004088	134
ENSSSCG00000004089	121
ENSSSCG00000004090	136
ENSSSCG00000004091	2127
ENSSSCG00000004092	610
ENSSSCG00000004093	0
ENSSSCG00000004094	0
ENSSSCG00000004095	0
ENSSSCG00000004096	2
ENSSSCG00000004097	1
ENSSSCG00000004098	16
ENSSSCG00000004099	0
ENSSSCG00000004100	27
ENSSSCG00000004101	66
ENSSSCG00000004102	0
ENSSSCG00000004103	935
ENSSSCG00000004104	377
ENSSSCG00000004105	108
ENSSSCG00000004106	827
ENSSSCG00000004107	83
ENSSSCG00000004108	304
ENSSSCG00000004109	19
ENSSSCG00000004110	1792
ENSSSCG00000004111	217
ENSSSCG00000020613	0
ENSSSCG00000004112	0
ENSSSCG00000004113	160
ENSSSCG00000004114	0
ENSSSCG00000004115	1
ENSSSCG00000004116	0
ENSSSCG00000004117	312
ENSSSCG00000004118	0
ENSSSCG00000004119	0
ENSSSCG00000004120	423
ENSSSCG00000004121	1287
ENSSSCG00000004122	51
ENSSSCG00000004123	705
ENSSSCG00000004124	1716
ENSSSCG00000004125	231
ENSSSCG00000004126	171
ENSSSCG00000004127	343
ENSSSCG00000004128	0
ENSSSCG00000004129	0
ENSSSCG00000004130	143
ENSSSCG00000004131	11
ENSSSCG00000004132	293
ENSSSCG00000020208	0
ENSSSCG00000004133	599
ENSSSCG00000004134	94
ENSSSCG00000004135	29
ENSSSCG00000004136	253
ENSSSCG00000004137	0
ENSSSCG00000004138	2452
ENSSSCG00000004139	556
ENSSSCG00000004140	177
ENSSSCG00000004141	0
ENSSSCG00000019021	0
ENSSSCG00000018603	0
ENSSSCG00000004142	433
ENSSSCG00000004143	0
ENSSSCG00000004144	262
ENSSSCG00000004145	509
ENSSSCG00000004146	522
ENSSSCG00000004147	0
ENSSSCG00000004148	102
ENSSSCG00000004149	50
ENSSSCG00000020384	0
ENSSSCG00000004150	512
ENSSSCG00000019434	0
ENSSSCG00000004151	43
ENSSSCG00000004152	0
ENSSSCG00000004153	15
ENSSSCG00000004155	0
ENSSSCG00000004156	414
ENSSSCG00000004157	14
ENSSSCG00000004158	0
ENSSSCG00000004159	0
ENSSSCG00000004160	60
ENSSSCG00000020379	0
ENSSSCG00000004161	11
ENSSSCG00000004162	0
ENSSSCG00000004163	2833
ENSSSCG00000004164	19
ENSSSCG00000004165	6
ENSSSCG00000020601	0
ENSSSCG00000004166	486
ENSSSCG00000004167	3
ENSSSCG00000004168	138
ENSSSCG00000004169	640
ENSSSCG00000004170	69
ENSSSCG00000004171	93
ENSSSCG00000020130	0
ENSSSCG00000019571	0
ENSSSCG00000019507	0
ENSSSCG00000004172	22
ENSSSCG00000004173	138
ENSSSCG00000004174	31
ENSSSCG00000004175	0
ENSSSCG00000004176	0
ENSSSCG00000004177	5461
ENSSSCG00000018972	8
ENSSSCG00000018450	6
ENSSSCG00000018352	0
ENSSSCG00000004178	82
ENSSSCG00000004179	0
ENSSSCG00000004180	0
ENSSSCG00000004181	0
