Geneid	SRR14612094_myofibroblast_male
ENSSSCG00000004006	171
ENSSSCG00000004007	126
ENSSSCG00000004008	0
ENSSSCG00000004009	0
ENSSSCG00000004010	137
ENSSSCG00000004011	177
ENSSSCG00000004012	1912
ENSSSCG00000018614	0
ENSSSCG00000004013	1
ENSSSCG00000018658	0
ENSSSCG00000019371	0
ENSSSCG00000004014	0
ENSSSCG00000004015	0
ENSSSCG00000004016	0
ENSSSCG00000004017	0
ENSSSCG00000004018	184
ENSSSCG00000004019	1
ENSSSCG00000004020	264
ENSSSCG00000004021	0
ENSSSCG00000004022	340
ENSSSCG00000004023	80
ENSSSCG00000004024	420
ENSSSCG00000004025	0
ENSSSCG00000004026	0
ENSSSCG00000019654	0
ENSSSCG00000004027	13
ENSSSCG00000004028	0
ENSSSCG00000004029	2740
ENSSSCG00000004030	0
ENSSSCG00000004031	0
ENSSSCG00000004032	0
ENSSSCG00000004033	205
ENSSSCG00000004034	141
ENSSSCG00000004035	0
ENSSSCG00000004036	5
ENSSSCG00000004037	165
ENSSSCG00000004038	0
ENSSSCG00000004039	0
ENSSSCG00000018769	0
ENSSSCG00000004040	0
ENSSSCG00000004041	0
ENSSSCG00000004042	731
ENSSSCG00000004043	93
ENSSSCG00000004044	3390
ENSSSCG00000004045	1
ENSSSCG00000004046	0
ENSSSCG00000004047	237
ENSSSCG00000004048	2945
ENSSSCG00000018530	6
ENSSSCG00000018605	2
ENSSSCG00000004049	1051
ENSSSCG00000004050	589
ENSSSCG00000004051	572
ENSSSCG00000004052	564
ENSSSCG00000004053	21
ENSSSCG00000004054	0
ENSSSCG00000004055	28
ENSSSCG00000004056	86
ENSSSCG00000004057	2
ENSSSCG00000004058	3203
ENSSSCG00000004059	46
ENSSSCG00000004060	40
ENSSSCG00000004061	41
ENSSSCG00000020070	0
ENSSSCG00000004062	8
ENSSSCG00000004063	89
ENSSSCG00000004064	1860
ENSSSCG00000019015	0
ENSSSCG00000004065	784
ENSSSCG00000004066	211
ENSSSCG00000004067	8
ENSSSCG00000004068	0
ENSSSCG00000004069	0
ENSSSCG00000004070	1030
ENSSSCG00000004071	156
ENSSSCG00000004072	0
ENSSSCG00000004073	0
ENSSSCG00000004074	0
ENSSSCG00000004075	53
ENSSSCG00000004076	105
ENSSSCG00000004077	53
ENSSSCG00000004078	0
ENSSSCG00000004079	0
ENSSSCG00000004080	55
ENSSSCG00000004081	3
ENSSSCG00000004082	1736
ENSSSCG00000004083	0
ENSSSCG00000004084	0
ENSSSCG00000004085	0
ENSSSCG00000004086	0
ENSSSCG00000004087	34
ENSSSCG00000004088	172
ENSSSCG00000004089	118
ENSSSCG00000004090	191
ENSSSCG00000004091	1401
ENSSSCG00000004092	574
ENSSSCG00000004093	0
ENSSSCG00000004094	0
ENSSSCG00000004095	0
ENSSSCG00000004096	6
ENSSSCG00000004097	3
ENSSSCG00000004098	18
ENSSSCG00000004099	2
ENSSSCG00000004100	39
ENSSSCG00000004101	113
ENSSSCG00000004102	0
ENSSSCG00000004103	1067
ENSSSCG00000004104	393
ENSSSCG00000004105	118
ENSSSCG00000004106	899
ENSSSCG00000004107	99
ENSSSCG00000004108	321
ENSSSCG00000004109	6
ENSSSCG00000004110	1574
ENSSSCG00000004111	242
ENSSSCG00000020613	0
ENSSSCG00000004112	0
ENSSSCG00000004113	162
ENSSSCG00000004114	2
ENSSSCG00000004115	1
ENSSSCG00000004116	0
ENSSSCG00000004117	310
ENSSSCG00000004118	5
ENSSSCG00000004119	0
ENSSSCG00000004120	357
ENSSSCG00000004121	1312
ENSSSCG00000004122	88
ENSSSCG00000004123	748
ENSSSCG00000004124	1790
ENSSSCG00000004125	244
ENSSSCG00000004126	179
ENSSSCG00000004127	348
ENSSSCG00000004128	0
ENSSSCG00000004129	7
ENSSSCG00000004130	101
ENSSSCG00000004131	21
ENSSSCG00000004132	328
ENSSSCG00000020208	0
ENSSSCG00000004133	750
ENSSSCG00000004134	114
ENSSSCG00000004135	35
ENSSSCG00000004136	354
ENSSSCG00000004137	0
ENSSSCG00000004138	3363
ENSSSCG00000004139	1599
ENSSSCG00000004140	204
ENSSSCG00000004141	0
ENSSSCG00000019021	0
ENSSSCG00000018603	0
ENSSSCG00000004142	632
ENSSSCG00000004143	0
ENSSSCG00000004144	296
ENSSSCG00000004145	727
ENSSSCG00000004146	546
ENSSSCG00000004147	0
ENSSSCG00000004148	99
ENSSSCG00000004149	72
ENSSSCG00000020384	0
ENSSSCG00000004150	725
ENSSSCG00000019434	0
ENSSSCG00000004151	96
ENSSSCG00000004152	1
ENSSSCG00000004153	93
ENSSSCG00000004155	0
ENSSSCG00000004156	538
ENSSSCG00000004157	1
ENSSSCG00000004158	0
ENSSSCG00000004159	0
ENSSSCG00000004160	35
ENSSSCG00000020379	1
ENSSSCG00000004161	35
ENSSSCG00000004162	1
ENSSSCG00000004163	2640
ENSSSCG00000004164	29
ENSSSCG00000004165	14
ENSSSCG00000020601	0
ENSSSCG00000004166	725
ENSSSCG00000004167	4
ENSSSCG00000004168	199
ENSSSCG00000004169	819
ENSSSCG00000004170	128
ENSSSCG00000004171	113
ENSSSCG00000020130	0
ENSSSCG00000019571	0
ENSSSCG00000019507	0
ENSSSCG00000004172	18
ENSSSCG00000004173	213
ENSSSCG00000004174	39
ENSSSCG00000004175	0
ENSSSCG00000004176	0
ENSSSCG00000004177	6142
ENSSSCG00000018972	6
ENSSSCG00000018450	0
ENSSSCG00000018352	0
ENSSSCG00000004178	83
ENSSSCG00000004179	0
ENSSSCG00000004180	0
ENSSSCG00000004181	0
ENSSSCG00000019778	0
ENSSSCG00000004182	0
ENSSSCG00000004183	0
ENSSSCG00000004184	0
ENSSSCG00000004185	0
ENSSSCG00000004186	0
ENSSSCG00000004187	0
ENSSSCG00000004188	0
ENSSSCG00000004189	0
ENSSSCG00000004190	723
ENSSSCG00000018825	0
ENSSSCG00000004191	41
ENSSSCG00000004192	62844
ENSSSCG00000004193	510
ENSSSCG00000004194	1
ENSSSCG00000004195	0
ENSSSCG00000004196	478
ENSSSCG00000020095	2
ENSSSCG00000004197	51
ENSSSCG00000004198	1
ENSSSCG00000004199	4208
ENSSSCG00000004200	0
ENSSSCG00000004201	1596
ENSSSCG00000004202	0
ENSSSCG00000004203	264
ENSSSCG00000004204	0
ENSSSCG00000004205	81
ENSSSCG00000004206	35
ENSSSCG00000004207	28
ENSSSCG00000004208	2
ENSSSCG00000004209	960
ENSSSCG00000004210	0
ENSSSCG00000004211	0
ENSSSCG00000004212	0
ENSSSCG00000004213	0
ENSSSCG00000019365	0
ENSSSCG00000004214	17
ENSSSCG00000018593	0
ENSSSCG00000004215	127
ENSSSCG00000004216	316
ENSSSCG00000004217	829
ENSSSCG00000004218	5
ENSSSCG00000004219	26
ENSSSCG00000004220	113
ENSSSCG00000004221	55
ENSSSCG00000004222	825
ENSSSCG00000004223	1147
ENSSSCG00000004224	81
ENSSSCG00000004225	0
ENSSSCG00000004226	23
ENSSSCG00000004227	76
ENSSSCG00000019074	0
ENSSSCG00000019497	0
ENSSSCG00000004231	0
ENSSSCG00000004232	44
ENSSSCG00000004233	243
ENSSSCG00000004234	0
ENSSSCG00000004235	238
ENSSSCG00000004236	2
ENSSSCG00000004237	1135
ENSSSCG00000004238	205
ENSSSCG00000004239	59
ENSSSCG00000020356	0
ENSSSCG00000004240	0
ENSSSCG00000004241	6757
ENSSSCG00000004242	133
ENSSSCG00000004243	12
ENSSSCG00000004244	733
ENSSSCG00000004245	63
ENSSSCG00000004246	218
ENSSSCG00000004247	147
ENSSSCG00000004248	8
ENSSSCG00000004249	48
ENSSSCG00000020423	0
ENSSSCG00000004250	1
ENSSSCG00000004251	920
ENSSSCG00000004252	0
ENSSSCG00000004253	561
ENSSSCG00000004254	540
ENSSSCG00000004255	0
ENSSSCG00000004256	0
ENSSSCG00000004257	0
ENSSSCG00000004258	2
ENSSSCG00000019126	0
ENSSSCG00000004259	0
ENSSSCG00000004260	7
ENSSSCG00000004261	409
ENSSSCG00000004262	41
ENSSSCG00000004263	148
ENSSSCG00000004264	0
ENSSSCG00000018549	0
ENSSSCG00000004265	605
ENSSSCG00000004266	0
ENSSSCG00000004267	2062
ENSSSCG00000004268	563
ENSSSCG00000019521	0
ENSSSCG00000004269	0
ENSSSCG00000020480	0
ENSSSCG00000018616	0
ENSSSCG00000018217	0
ENSSSCG00000004270	0
ENSSSCG00000004271	0
ENSSSCG00000004272	324
ENSSSCG00000004273	0
ENSSSCG00000004274	1
ENSSSCG00000004275	547
ENSSSCG00000004276	865
ENSSSCG00000004277	4
ENSSSCG00000004278	4
ENSSSCG00000004279	148
ENSSSCG00000019520	0
ENSSSCG00000019941	0
ENSSSCG00000020544	0
ENSSSCG00000018440	0
ENSSSCG00000019442	0
ENSSSCG00000004280	0
ENSSSCG00000004281	283
ENSSSCG00000004282	2
ENSSSCG00000004283	0
ENSSSCG00000004284	0
ENSSSCG00000004285	0
ENSSSCG00000004286	99
ENSSSCG00000004287	0
ENSSSCG00000004288	14
ENSSSCG00000004289	115
ENSSSCG00000004290	518
ENSSSCG00000004291	801
ENSSSCG00000004292	4091
ENSSSCG00000004293	2850
ENSSSCG00000004294	3402
ENSSSCG00000019135	0
ENSSSCG00000019921	0
ENSSSCG00000004295	0
ENSSSCG00000004296	0
ENSSSCG00000020277	0
ENSSSCG00000004297	0
ENSSSCG00000004298	965
ENSSSCG00000004299	0
ENSSSCG00000004300	54
ENSSSCG00000004301	7
ENSSSCG00000004302	1
ENSSSCG00000004303	151
ENSSSCG00000004304	297
ENSSSCG00000004305	24
ENSSSCG00000004306	242
ENSSSCG00000004307	1832
ENSSSCG00000004308	4
ENSSSCG00000004309	10
ENSSSCG00000019769	0
ENSSSCG00000004310	40
ENSSSCG00000004311	88
ENSSSCG00000018235	0
ENSSSCG00000004312	229
ENSSSCG00000004313	35
ENSSSCG00000004314	259
ENSSSCG00000004315	0
ENSSSCG00000004316	0
ENSSSCG00000004317	423
ENSSSCG00000004318	1
ENSSSCG00000004319	0
ENSSSCG00000004320	357
ENSSSCG00000018811	0
ENSSSCG00000004321	1
ENSSSCG00000004322	0
ENSSSCG00000004323	70
ENSSSCG00000004324	112
ENSSSCG00000004325	39
ENSSSCG00000004326	401
ENSSSCG00000004327	196
ENSSSCG00000004328	629
ENSSSCG00000004329	59
ENSSSCG00000004330	0
ENSSSCG00000004331	330
ENSSSCG00000004332	77
ENSSSCG00000004333	4
ENSSSCG00000004334	794
ENSSSCG00000004335	49
ENSSSCG00000019674	0
ENSSSCG00000004336	10
ENSSSCG00000018695	0
ENSSSCG00000020518	0
ENSSSCG00000004337	327
ENSSSCG00000004338	0
ENSSSCG00000004339	579
ENSSSCG00000004340	0
ENSSSCG00000004341	17
ENSSSCG00000018143	0
ENSSSCG00000004342	67
ENSSSCG00000004343	0
ENSSSCG00000004344	35
ENSSSCG00000004345	49
ENSSSCG00000018476	0
ENSSSCG00000019582	0
ENSSSCG00000019812	0
ENSSSCG00000018969	0
ENSSSCG00000004346	0
ENSSSCG00000004347	261
ENSSSCG00000004348	91
ENSSSCG00000004349	135
ENSSSCG00000004350	97
ENSSSCG00000004351	133
ENSSSCG00000004352	67
ENSSSCG00000004353	255
ENSSSCG00000004354	0
ENSSSCG00000004355	94
ENSSSCG00000004356	0
ENSSSCG00000004357	0
ENSSSCG00000004358	706
ENSSSCG00000019986	0
ENSSSCG00000004359	662
ENSSSCG00000004360	385
ENSSSCG00000004361	5
ENSSSCG00000004362	0
ENSSSCG00000004363	994
ENSSSCG00000004364	674
ENSSSCG00000004365	0
ENSSSCG00000004366	170
ENSSSCG00000004367	3
ENSSSCG00000004368	1242
ENSSSCG00000004369	1
ENSSSCG00000004370	116
ENSSSCG00000004371	469
ENSSSCG00000018392	0
ENSSSCG00000004372	157
ENSSSCG00000004373	129
ENSSSCG00000004374	165
ENSSSCG00000019893	0
ENSSSCG00000004375	164
ENSSSCG00000004376	74
ENSSSCG00000004377	0
ENSSSCG00000018257	0
ENSSSCG00000004378	0
ENSSSCG00000004379	212
ENSSSCG00000004380	0
ENSSSCG00000004381	0
ENSSSCG00000004382	1776
ENSSSCG00000004383	749
ENSSSCG00000004384	9
ENSSSCG00000004385	1435
ENSSSCG00000004386	49
ENSSSCG00000004387	797
ENSSSCG00000004388	25
ENSSSCG00000004389	4
ENSSSCG00000004390	86
ENSSSCG00000004391	14
ENSSSCG00000004392	884
ENSSSCG00000004393	334
ENSSSCG00000004394	94
ENSSSCG00000004395	39
ENSSSCG00000004396	209
ENSSSCG00000004397	66
ENSSSCG00000004398	0
ENSSSCG00000004399	0
ENSSSCG00000004400	19
ENSSSCG00000004401	61
ENSSSCG00000004402	0
ENSSSCG00000004403	276
ENSSSCG00000004404	7
ENSSSCG00000004405	151
ENSSSCG00000004406	0
ENSSSCG00000004407	0
ENSSSCG00000004408	77
ENSSSCG00000004409	511
ENSSSCG00000004410	0
ENSSSCG00000004411	126
ENSSSCG00000004412	1910
ENSSSCG00000004413	0
ENSSSCG00000004414	10131
ENSSSCG00000004415	54
ENSSSCG00000004416	0
ENSSSCG00000004417	67
ENSSSCG00000004418	39
ENSSSCG00000004419	27
ENSSSCG00000004420	448
ENSSSCG00000004421	1072
ENSSSCG00000019932	0
ENSSSCG00000004422	0
ENSSSCG00000004423	22
ENSSSCG00000004424	0
ENSSSCG00000004425	9478
ENSSSCG00000004426	0
ENSSSCG00000004427	2
ENSSSCG00000004428	862
ENSSSCG00000004429	119
ENSSSCG00000004430	6
ENSSSCG00000004431	1123
ENSSSCG00000004432	1250
ENSSSCG00000004433	1
ENSSSCG00000004434	20
ENSSSCG00000004435	165
ENSSSCG00000004436	0
ENSSSCG00000004437	22
ENSSSCG00000004438	168
ENSSSCG00000004439	29
ENSSSCG00000004440	157
ENSSSCG00000004441	2623
ENSSSCG00000004442	0
ENSSSCG00000004443	60
ENSSSCG00000004444	1
ENSSSCG00000004445	0
ENSSSCG00000004446	482
ENSSSCG00000004447	0
ENSSSCG00000004448	0
ENSSSCG00000004449	0
ENSSSCG00000004450	0
ENSSSCG00000004451	0
ENSSSCG00000004452	248
ENSSSCG00000004453	1
ENSSSCG00000004454	1086
ENSSSCG00000004455	50
ENSSSCG00000004456	1036
ENSSSCG00000004457	659
ENSSSCG00000004458	944
ENSSSCG00000004459	38
ENSSSCG00000004460	1270
ENSSSCG00000004461	373
ENSSSCG00000020262	0
ENSSSCG00000004462	32
ENSSSCG00000020103	0
ENSSSCG00000004463	3
ENSSSCG00000004464	228
ENSSSCG00000004465	32
ENSSSCG00000004466	150
ENSSSCG00000004467	8
ENSSSCG00000004468	1
ENSSSCG00000004469	1
ENSSSCG00000019998	0
ENSSSCG00000004470	407
ENSSSCG00000004471	16
ENSSSCG00000004472	46
ENSSSCG00000004473	248
ENSSSCG00000004474	0
ENSSSCG00000004475	877
ENSSSCG00000004476	0
ENSSSCG00000004477	0
ENSSSCG00000004478	628
