Geneid	SRR14612095_fibroblast_female
ENSSSCG00000004006	223
ENSSSCG00000004007	145
ENSSSCG00000004008	2
ENSSSCG00000004009	0
ENSSSCG00000004010	139
ENSSSCG00000004011	195
ENSSSCG00000004012	2333
ENSSSCG00000018614	0
ENSSSCG00000004013	0
ENSSSCG00000018658	0
ENSSSCG00000019371	0
ENSSSCG00000004014	0
ENSSSCG00000004015	0
ENSSSCG00000004016	0
ENSSSCG00000004017	9
ENSSSCG00000004018	167
ENSSSCG00000004019	1
ENSSSCG00000004020	449
ENSSSCG00000004021	0
ENSSSCG00000004022	376
ENSSSCG00000004023	91
ENSSSCG00000004024	526
ENSSSCG00000004025	0
ENSSSCG00000004026	0
ENSSSCG00000019654	0
ENSSSCG00000004027	81
ENSSSCG00000004028	0
ENSSSCG00000004029	2642
ENSSSCG00000004030	0
ENSSSCG00000004031	0
ENSSSCG00000004032	7
ENSSSCG00000004033	139
ENSSSCG00000004034	169
ENSSSCG00000004035	0
ENSSSCG00000004036	5
ENSSSCG00000004037	223
ENSSSCG00000004038	0
ENSSSCG00000004039	0
ENSSSCG00000018769	0
ENSSSCG00000004040	0
ENSSSCG00000004041	0
ENSSSCG00000004042	1117
ENSSSCG00000004043	178
ENSSSCG00000004044	5018
ENSSSCG00000004045	0
ENSSSCG00000004046	0
ENSSSCG00000004047	319
ENSSSCG00000004048	2455
ENSSSCG00000018530	1
ENSSSCG00000018605	5
ENSSSCG00000004049	1033
ENSSSCG00000004050	946
ENSSSCG00000004051	12353
ENSSSCG00000004052	857
ENSSSCG00000004053	14
ENSSSCG00000004054	0
ENSSSCG00000004055	42
ENSSSCG00000004056	125
ENSSSCG00000004057	2
ENSSSCG00000004058	2630
ENSSSCG00000004059	44
ENSSSCG00000004060	45
ENSSSCG00000004061	36
ENSSSCG00000020070	0
ENSSSCG00000004062	51
ENSSSCG00000004063	131
ENSSSCG00000004064	1354
ENSSSCG00000019015	0
ENSSSCG00000004065	681
ENSSSCG00000004066	180
ENSSSCG00000004067	20
ENSSSCG00000004068	0
ENSSSCG00000004069	0
ENSSSCG00000004070	1338
ENSSSCG00000004071	206
ENSSSCG00000004072	0
ENSSSCG00000004073	0
ENSSSCG00000004074	0
ENSSSCG00000004075	62
ENSSSCG00000004076	123
ENSSSCG00000004077	65
ENSSSCG00000004078	0
ENSSSCG00000004079	0
ENSSSCG00000004080	18
ENSSSCG00000004081	14
ENSSSCG00000004082	1212
ENSSSCG00000004083	0
ENSSSCG00000004084	0
ENSSSCG00000004085	0
ENSSSCG00000004086	0
ENSSSCG00000004087	69
ENSSSCG00000004088	204
ENSSSCG00000004089	180
ENSSSCG00000004090	138
ENSSSCG00000004091	1414
ENSSSCG00000004092	603
ENSSSCG00000004093	0
ENSSSCG00000004094	0
ENSSSCG00000004095	11
ENSSSCG00000004096	4
ENSSSCG00000004097	11
ENSSSCG00000004098	23
ENSSSCG00000004099	1
ENSSSCG00000004100	43
ENSSSCG00000004101	220
ENSSSCG00000004102	0
ENSSSCG00000004103	816
ENSSSCG00000004104	397
ENSSSCG00000004105	136
ENSSSCG00000004106	967
ENSSSCG00000004107	137
ENSSSCG00000004108	527
ENSSSCG00000004109	8
ENSSSCG00000004110	1123
ENSSSCG00000004111	84
ENSSSCG00000020613	0
ENSSSCG00000004112	0
ENSSSCG00000004113	175
ENSSSCG00000004114	13
ENSSSCG00000004115	3
ENSSSCG00000004116	0
ENSSSCG00000004117	499
ENSSSCG00000004118	4
ENSSSCG00000004119	0
ENSSSCG00000004120	373
ENSSSCG00000004121	1278
ENSSSCG00000004122	35
ENSSSCG00000004123	564
ENSSSCG00000004124	1530
ENSSSCG00000004125	292
ENSSSCG00000004126	176
ENSSSCG00000004127	333
ENSSSCG00000004128	0
ENSSSCG00000004129	1
ENSSSCG00000004130	156
ENSSSCG00000004131	18
ENSSSCG00000004132	363
ENSSSCG00000020208	0
ENSSSCG00000004133	1318
ENSSSCG00000004134	229
ENSSSCG00000004135	48
ENSSSCG00000004136	401
ENSSSCG00000004137	0
ENSSSCG00000004138	4175
ENSSSCG00000004139	1031
ENSSSCG00000004140	255
ENSSSCG00000004141	0
ENSSSCG00000019021	0
ENSSSCG00000018603	0
ENSSSCG00000004142	942
ENSSSCG00000004143	0
ENSSSCG00000004144	462
ENSSSCG00000004145	620
ENSSSCG00000004146	543
ENSSSCG00000004147	0
ENSSSCG00000004148	198
ENSSSCG00000004149	98
ENSSSCG00000020384	0
ENSSSCG00000004150	595
ENSSSCG00000019434	0
ENSSSCG00000004151	77
ENSSSCG00000004152	0
ENSSSCG00000004153	67
ENSSSCG00000004155	0
ENSSSCG00000004156	724
ENSSSCG00000004157	43
ENSSSCG00000004158	0
ENSSSCG00000004159	14
ENSSSCG00000004160	55
ENSSSCG00000020379	0
ENSSSCG00000004161	35
ENSSSCG00000004162	0
ENSSSCG00000004163	2753
ENSSSCG00000004164	34
ENSSSCG00000004165	118
ENSSSCG00000020601	0
ENSSSCG00000004166	752
ENSSSCG00000004167	3
ENSSSCG00000004168	170
ENSSSCG00000004169	928
ENSSSCG00000004170	144
ENSSSCG00000004171	119
