Geneid	SRR14612099_myofibroblast_female
ENSSSCG00000004006	170
ENSSSCG00000004007	107
ENSSSCG00000004008	5
ENSSSCG00000004009	0
ENSSSCG00000004010	116
ENSSSCG00000004011	181
ENSSSCG00000004012	1709
ENSSSCG00000018614	0
ENSSSCG00000004013	0
ENSSSCG00000018658	0
ENSSSCG00000019371	0
ENSSSCG00000004014	0
ENSSSCG00000004015	0
ENSSSCG00000004016	2
ENSSSCG00000004017	1
ENSSSCG00000004018	222
ENSSSCG00000004019	0
ENSSSCG00000004020	333
ENSSSCG00000004021	0
ENSSSCG00000004022	294
ENSSSCG00000004023	96
ENSSSCG00000004024	335
ENSSSCG00000004025	0
ENSSSCG00000004026	0
ENSSSCG00000019654	0
ENSSSCG00000004027	28
ENSSSCG00000004028	0
ENSSSCG00000004029	2857
ENSSSCG00000004030	0
ENSSSCG00000004031	0
ENSSSCG00000004032	3
ENSSSCG00000004033	174
ENSSSCG00000004034	148
ENSSSCG00000004035	0
ENSSSCG00000004036	1
ENSSSCG00000004037	193
ENSSSCG00000004038	0
ENSSSCG00000004039	0
ENSSSCG00000018769	0
ENSSSCG00000004040	0
ENSSSCG00000004041	0
ENSSSCG00000004042	947
ENSSSCG00000004043	124
ENSSSCG00000004044	4305
ENSSSCG00000004045	0
ENSSSCG00000004046	0
ENSSSCG00000004047	230
ENSSSCG00000004048	3119
ENSSSCG00000018530	3
ENSSSCG00000018605	0
ENSSSCG00000004049	1174
ENSSSCG00000004050	667
ENSSSCG00000004051	765
ENSSSCG00000004052	719
ENSSSCG00000004053	10
ENSSSCG00000004054	0
ENSSSCG00000004055	34
ENSSSCG00000004056	168
ENSSSCG00000004057	0
ENSSSCG00000004058	3298
ENSSSCG00000004059	36
ENSSSCG00000004060	48
ENSSSCG00000004061	31
ENSSSCG00000020070	0
ENSSSCG00000004062	50
ENSSSCG00000004063	104
ENSSSCG00000004064	1852
ENSSSCG00000019015	0
ENSSSCG00000004065	670
ENSSSCG00000004066	175
ENSSSCG00000004067	3
ENSSSCG00000004068	0
ENSSSCG00000004069	0
ENSSSCG00000004070	1161
ENSSSCG00000004071	151
ENSSSCG00000004072	0
ENSSSCG00000004073	0
ENSSSCG00000004074	0
ENSSSCG00000004075	53
ENSSSCG00000004076	66
ENSSSCG00000004077	103
ENSSSCG00000004078	0
