Geneid	SRR14612100_myofibroblast_female
ENSSSCG00000004006	188
ENSSSCG00000004007	100
ENSSSCG00000004008	1
ENSSSCG00000004009	0
ENSSSCG00000004010	100
ENSSSCG00000004011	164
ENSSSCG00000004012	2763
ENSSSCG00000018614	0
ENSSSCG00000004013	0
ENSSSCG00000018658	0
ENSSSCG00000019371	0
ENSSSCG00000004014	0
ENSSSCG00000004015	0
ENSSSCG00000004016	0
ENSSSCG00000004017	2
ENSSSCG00000004018	205
ENSSSCG00000004019	2
ENSSSCG00000004020	222
ENSSSCG00000004021	1
ENSSSCG00000004022	315
ENSSSCG00000004023	73
ENSSSCG00000004024	400
ENSSSCG00000004025	0
ENSSSCG00000004026	0
ENSSSCG00000019654	0
ENSSSCG00000004027	18
ENSSSCG00000004028	1
ENSSSCG00000004029	2712
ENSSSCG00000004030	0
ENSSSCG00000004031	0
ENSSSCG00000004032	1
ENSSSCG00000004033	178
ENSSSCG00000004034	136
ENSSSCG00000004035	0
ENSSSCG00000004036	2
ENSSSCG00000004037	172
ENSSSCG00000004038	0
ENSSSCG00000004039	0
ENSSSCG00000018769	0
ENSSSCG00000004040	0
ENSSSCG00000004041	0
ENSSSCG00000004042	674
ENSSSCG00000004043	122
ENSSSCG00000004044	3000
ENSSSCG00000004045	0
ENSSSCG00000004046	0
ENSSSCG00000004047	208
ENSSSCG00000004048	2643
ENSSSCG00000018530	2
ENSSSCG00000018605	0
ENSSSCG00000004049	841
ENSSSCG00000004050	576
ENSSSCG00000004051	744
ENSSSCG00000004052	647
ENSSSCG00000004053	26
ENSSSCG00000004054	0
ENSSSCG00000004055	15
ENSSSCG00000004056	95
ENSSSCG00000004057	0
ENSSSCG00000004058	3288
ENSSSCG00000004059	42
ENSSSCG00000004060	48
ENSSSCG00000004061	51
ENSSSCG00000020070	0
ENSSSCG00000004062	27
ENSSSCG00000004063	82
ENSSSCG00000004064	1718
ENSSSCG00000019015	0
ENSSSCG00000004065	812
ENSSSCG00000004066	183
ENSSSCG00000004067	8
ENSSSCG00000004068	0
ENSSSCG00000004069	0
ENSSSCG00000004070	1160
ENSSSCG00000004071	134
ENSSSCG00000004072	0
ENSSSCG00000004073	0
ENSSSCG00000004074	0
ENSSSCG00000004075	42
ENSSSCG00000004076	86
ENSSSCG00000004077	50
ENSSSCG00000004078	0
ENSSSCG00000004079	0
ENSSSCG00000004080	16
ENSSSCG00000004081	3
ENSSSCG00000004082	2063
ENSSSCG00000004083	0
ENSSSCG00000004084	0
ENSSSCG00000004085	0
ENSSSCG00000004086	0
ENSSSCG00000004087	14
ENSSSCG00000004088	171
ENSSSCG00000004089	111
ENSSSCG00000004090	153
ENSSSCG00000004091	2126
ENSSSCG00000004092	637
ENSSSCG00000004093	0
ENSSSCG00000004094	0
ENSSSCG00000004095	2
ENSSSCG00000004096	7
ENSSSCG00000004097	3
ENSSSCG00000004098	18
ENSSSCG00000004099	1
ENSSSCG00000004100	26
ENSSSCG00000004101	112
ENSSSCG00000004102	0
ENSSSCG00000004103	854
ENSSSCG00000004104	318
ENSSSCG00000004105	83
ENSSSCG00000004106	944
ENSSSCG00000004107	114
ENSSSCG00000004108	265
ENSSSCG00000004109	8
ENSSSCG00000004110	1750
ENSSSCG00000004111	260
ENSSSCG00000020613	0
ENSSSCG00000004112	0
ENSSSCG00000004113	166
ENSSSCG00000004114	2
ENSSSCG00000004115	1
ENSSSCG00000004116	1
ENSSSCG00000004117	312
ENSSSCG00000004118	1
ENSSSCG00000004119	0
ENSSSCG00000004120	393
ENSSSCG00000004121	1260
ENSSSCG00000004122	110
ENSSSCG00000004123	731
ENSSSCG00000004124	1720
ENSSSCG00000004125	271
ENSSSCG00000004126	184
ENSSSCG00000004127	335
ENSSSCG00000004128	0
ENSSSCG00000004129	3
ENSSSCG00000004130	110
ENSSSCG00000004131	15
ENSSSCG00000004132	405
ENSSSCG00000020208	0
ENSSSCG00000004133	637
ENSSSCG00000004134	112
ENSSSCG00000004135	25
ENSSSCG00000004136	274
ENSSSCG00000004137	0
ENSSSCG00000004138	2462
ENSSSCG00000004139	475
ENSSSCG00000004140	165
ENSSSCG00000004141	0
ENSSSCG00000019021	0
ENSSSCG00000018603	0
ENSSSCG00000004142	450
ENSSSCG00000004143	0
ENSSSCG00000004144	342
ENSSSCG00000004145	481
ENSSSCG00000004146	520
ENSSSCG00000004147	1
ENSSSCG00000004148	112
ENSSSCG00000004149	50
ENSSSCG00000020384	0
ENSSSCG00000004150	587
ENSSSCG00000019434	0
ENSSSCG00000004151	84
ENSSSCG00000004152	0
ENSSSCG00000004153	12
ENSSSCG00000004155	0
ENSSSCG00000004156	497
ENSSSCG00000004157	15
ENSSSCG00000004158	0
ENSSSCG00000004159	2
ENSSSCG00000004160	60
ENSSSCG00000020379	0
ENSSSCG00000004161	23
ENSSSCG00000004162	1
ENSSSCG00000004163	2591
ENSSSCG00000004164	21
ENSSSCG00000004165	14
ENSSSCG00000020601	0
ENSSSCG00000004166	501
ENSSSCG00000004167	0
ENSSSCG00000004168	158
ENSSSCG00000004169	710
ENSSSCG00000004170	93
ENSSSCG00000004171	107
ENSSSCG00000020130	0
ENSSSCG00000019571	0
ENSSSCG00000019507	0
ENSSSCG00000004172	18
ENSSSCG00000004173	130
ENSSSCG00000004174	42
ENSSSCG00000004175	0
ENSSSCG00000004176	0
ENSSSCG00000004177	6146
ENSSSCG00000018972	3
ENSSSCG00000018450	1
ENSSSCG00000018352	1
ENSSSCG00000004178	66
ENSSSCG00000004179	0
ENSSSCG00000004180	0
ENSSSCG00000004181	0
ENSSSCG00000019778	0
ENSSSCG00000004182	0
ENSSSCG00000004183	0
ENSSSCG00000004184	0
ENSSSCG00000004185	0
ENSSSCG00000004186	0
ENSSSCG00000004187	0
ENSSSCG00000004188	0
ENSSSCG00000004189	0
ENSSSCG00000004190	648
ENSSSCG00000018825	0
ENSSSCG00000004191	32
ENSSSCG00000004192	64623
ENSSSCG00000004193	387
ENSSSCG00000004194	1
ENSSSCG00000004195	0
ENSSSCG00000004196	415
ENSSSCG00000020095	1
ENSSSCG00000004197	34
ENSSSCG00000004198	4
ENSSSCG00000004199	4223
ENSSSCG00000004200	0
ENSSSCG00000004201	831
ENSSSCG00000004202	0
ENSSSCG00000004203	207
ENSSSCG00000004204	0
ENSSSCG00000004205	50
ENSSSCG00000004206	34
ENSSSCG00000004207	93
ENSSSCG00000004208	10
ENSSSCG00000004209	740
ENSSSCG00000004210	0
ENSSSCG00000004211	0
ENSSSCG00000004212	0
ENSSSCG00000004213	0
ENSSSCG00000019365	0
ENSSSCG00000004214	4
ENSSSCG00000018593	0
ENSSSCG00000004215	68
ENSSSCG00000004216	258
ENSSSCG00000004217	759
ENSSSCG00000004218	39
ENSSSCG00000004219	27
ENSSSCG00000004220	100
ENSSSCG00000004221	49
ENSSSCG00000004222	728
ENSSSCG00000004223	1075
ENSSSCG00000004224	85
ENSSSCG00000004225	1
ENSSSCG00000004226	26
ENSSSCG00000004227	60
ENSSSCG00000019074	0
